2016-01-17 22:54:54,683 [Worker-69] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: MyHealthApp:MyHealthApp:0.0.1-SNAPSHOT @ D:\MyCode\Hackathon\Preperation_22012016\GitPrepRepo\MyHealthApp\pom.xml.
2016-01-17 22:54:54,683 [Worker-68] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: MyHealthApp:MyHealthApp:0.0.1-SNAPSHOT @ D:\MyCode\Hackathon\Preperation_22012016\GitPrepRepo\MyHealthApp\pom.xml.
2016-01-17 22:55:04,625 [Worker-68] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-17 22:55:04,641 [Worker-68] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-01-17 22:55:05,948 [Worker-68] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-17 22:55:05,948 [Worker-69] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: MyHealthApp:MyHealthApp:0.0.1-SNAPSHOT @ D:\MyCode\Hackathon\Preperation_22012016\GitPrepRepo\MyHealthApp\pom.xml.
2016-01-17 22:55:05,948 [Worker-68] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\MyCode\Hackathon\Preperation_22012016\GitPrepRepo\MyHealthApp\src\test\resources
2016-01-17 22:55:12,296 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-17 22:55:12,296 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-01-17 22:55:12,312 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-17 22:55:12,312 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\MyCode\Hackathon\Preperation_22012016\GitPrepRepo\MyHealthApp\src\test\resources
2016-01-18 00:53:22,452 [Worker-82] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-18 00:53:22,452 [Worker-82] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
