127.0.0.1 - - [18/Jan/2016:23:55:19 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Jan/2016:23:55:21 +0530] "GET /MyHealthApp/ HTTP/1.1" 404 975
0:0:0:0:0:0:0:1 - - [18/Jan/2016:23:56:07 +0530] "GET /MyHealthApp/registerFitbit.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jan/2016:23:56:58 +0530] "GET /MyHealthApp/ HTTP/1.1" 404 975
0:0:0:0:0:0:0:1 - - [18/Jan/2016:23:57:10 +0530] "GET /MyHealthApp/registerFitbit.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jan/2016:23:57:45 +0530] "GET /MyHealthApp/ HTTP/1.1" 404 975
0:0:0:0:0:0:0:1 - - [18/Jan/2016:23:57:53 +0530] "GET /MyHealthApp/registerFitbit.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jan/2016:23:58:22 +0530] "GET /MyHealthApp/ HTTP/1.1" 404 975
0:0:0:0:0:0:0:1 - - [18/Jan/2016:23:58:28 +0530] "GET /MyHealthApp/registerFitbit.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jan/2016:23:58:31 +0530] "GET /MyHealthApp/ HTTP/1.1" 404 975
0:0:0:0:0:0:0:1 - - [18/Jan/2016:23:58:50 +0530] "GET /MyHealthApp/registerFitbit.html HTTP/1.1" 302 -
